rank,gid,role,priority_score,why,source
83,100000004707703100,transit,0.72709129,Признаки транзита: 2 отправителей → 5 получателей; 41% входящих сопоставлены с более поздними исходящими за ≤2 суток.,real
84,100000007908818100,distributor,0.72682272,Признаки распределения: 6 получателей  302 000 KZT исходящих; 13 переводов.,real
85,100000001279272100,transit,0.72494465,Признаки транзита: 1 отправителей → 2 получателей; 52% входящих сопоставлены с более поздними исходящими за ≤2 суток.,real
86,100000002718366100,consolidator,0.72425334,Признаки консолидации: 6 отправителей  2 525 000 KZT входящих  0 получателей.,real
87,100000002175422100,distributor,0.72237089,Признаки распределения: 6 получателей  1 621 188 KZT исходящих; 14 переводов.,real
88,100000008512827100,distributor,0.72170252,Признаки распределения: 10 получателей  1 944 500 KZT исходящих; 10 переводов.,real
89,100000008086440100,distributor,0.72139802,Признаки распределения: 5 получателей  161 300 KZT исходящих; 6 переводов.,real
90,100000001287955100,transit,0.72128787,Признаки транзита: 1 отправителей → 4 получателей; 100% входящих сопоставлены с более поздними исходящими за ≤2 суток.,real
91,100000006274203100,terminal,0.71977877,Наблюдаемый получатель: вход 3 417 512 KZT от 2 отправителей; исходящий поток 72 000 KZT. Полный баланс неизвестен.,real
92,100000002838861100,consolidator,0.71760709,Признаки консолидации: 5 отправителей  554 524 KZT входящих  1 получателей.,real
93,100000004299488100,consolidator,0.71733058,Признаки консолидации: 6 отправителей  1 749 000 KZT входящих  2 получателей.,real
94,100000008443341100,coordinator,0.71718601,Кандидат в координаторы: 5 связей  32 связанных seed; 40% связей между кластерами.,real
95,100000001609499100,terminal,0.71610514,Наблюдаемый получатель: вход 263 113 KZT от 3 отправителей; исходящий поток 21 000 KZT. Полный баланс неизвестен.,real
96,100000004071080100,consolidator,0.71422312,Признаки консолидации: 9 отправителей  238 600 KZT входящих  2 получателей.,real
97,100000007055802100,consolidator,0.71345455,Признаки консолидации: 6 отправителей  2 024 999 KZT входящих  1 получателей.,real
98,100000004077081100,distributor,0.71241398,Признаки распределения: 4 получателей  615 000 KZT исходящих; 6 переводов.,real
99,100000008517538100,distributor,0.71055716,Признаки распределения: 17 получателей  1 439 000 KZT исходящих; 18 переводов.,real
100,100000000667713100,distributor,0.70511290,Признаки распределения: 6 получателей  79 236 KZT исходящих; 7 переводов.,real
